CODI_OPENDATA ,CODI_IDENTIFICACIO_ESTACIO,CODI_IDENTIFICACIO_EQUIP,NUMERO_DE_SERVEI,CODI_DEL_CONNECTOR,TIPO_CONNECTOR,POTENCIA_MAXIMA_DE_CARGA_(W),NUM_SERVEIS_DEL_EQUIP,NUM_DE_CONNECTORS_AL_EQUIP,TIPOLOGIA_DE_CARREGA,LATITUD,LONGITUD,DIRECCIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,CODI_POSTAL,CODI_ASIA,TIPUS_DE_ACCES,OPERADOR,TELF,TARIFA ,CONTROL_DE_ACCES,RESTRICCIO_DE_US
11901011,119,01,01,1,SCHUKO,3600,2,2,SEMI-RÀPIDA,41.395522,2.153667," Av. Diagonal, 508 (lateral Muntanya) – entre Balmes i Tusset",5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,08006,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eDUM
11901021,119,01,02,1,MENNEKES,7200,2,2,SEMI-RÀPIDA,41.395522,2.153667," Av. Diagonal, 508 (lateral Muntanya) – entre Balmes i Tusset",5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,08006,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eDUM
11902011,119,02,01,1,SCHUKO,3600,2,2,LENTA,41.395370,2.153832," Av. Diagonal, 508 (lateral Muntanya) – entre Balmes i Tusset",5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,08006,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11902021,119,02,02,1,SCHUKO,3600,2,2,LENTA,41.395370,2.153832," Av. Diagonal, 508 (lateral Muntanya) – entre Balmes i Tusset",5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,08006,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11903011,119,03,01,1,SCHUKO,3600,2,2,LENTA,41.395370,2.153832," Av. Diagonal, 508 (lateral Muntanya) – entre Balmes i Tusset",5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,08006,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11903021,119,03,02,1,SCHUKO,3600,2,2,LENTA,41.395370,2.153832," Av. Diagonal, 508 (lateral Muntanya) – entre Balmes i Tusset",5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,08006,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
12001011,120,01,01,1,SCHUKO,3600,2,2,LENTA,41.381430,2.181947,"Via Laietana, 1 - Pl. Antonio López, 1",1,Ciutat Vella,2,El Barri Gòtic,08003,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
12001021,120,01,02,1,SCHUKO,3600,2,2,LENTA,41.381430,2.181947,"Via Laietana, 1 - Pl. Antonio López, 1",1,Ciutat Vella,2,El Barri Gòtic,08003,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
12101011,121,01,01,1,SCHUKO,3600,2,2,LENTA,41.382081,2.191611,"Pg. Salvat Papasseit, 3 - Ginebra",1,Ciutat Vella,3,La Barceloneta,08003,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
12101021,121,01,02,1,SCHUKO,3600,2,2,LENTA,41.382081,2.191611,"Pg. Salvat Papasseit, 3 - Ginebra",1,Ciutat Vella,3,La Barceloneta,08003,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
